               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.033414,            0.021906,           0.0029695,             0.77882,             0.79594,             0.79803,             0.32962,            0.043204,            0.025231,           0.0080501,           0.0093317,           0.0093317,           0.0093317
                  58,            0.033603,            0.022142,           0.0032388,             0.78089,             0.77823,             0.77877,             0.32486,            0.042804,            0.024549,           0.0084983,           0.0093083,           0.0093083,           0.0093083
                  59,            0.033672,            0.021784,           0.0031018,             0.82132,             0.73438,             0.79207,             0.33153,             0.04305,            0.025093,           0.0081942,           0.0092846,           0.0092846,           0.0092846
                  60,            0.033934,             0.02131,           0.0030144,             0.84195,             0.74801,             0.79687,             0.32836,            0.042603,            0.024585,           0.0079192,           0.0092605,           0.0092605,           0.0092605
                  61,              0.0334,            0.021047,           0.0031747,             0.80486,             0.76533,             0.79331,             0.32541,             0.04247,            0.025439,           0.0081653,           0.0092361,           0.0092361,           0.0092361
                  62,            0.032639,            0.021015,           0.0030569,             0.82553,             0.73637,             0.77928,             0.31795,            0.042993,            0.025501,           0.0082239,           0.0092113,           0.0092113,           0.0092113
                  63,            0.032536,            0.021421,           0.0025385,             0.83707,             0.77185,             0.81526,             0.33126,            0.042704,             0.02503,           0.0082807,           0.0091861,           0.0091861,           0.0091861
                  64,            0.032481,            0.021333,           0.0029178,             0.81568,             0.75789,             0.79645,             0.31818,            0.044002,            0.025622,           0.0079265,           0.0091606,           0.0091606,           0.0091606
                  65,            0.032212,            0.021539,           0.0028841,             0.79156,             0.75275,             0.80004,             0.33207,             0.04255,            0.025432,           0.0085172,           0.0091348,           0.0091348,           0.0091348
                  66,            0.031923,            0.020324,           0.0032162,             0.83957,             0.75812,             0.79758,             0.33066,            0.042518,            0.024678,           0.0081713,           0.0091086,           0.0091086,           0.0091086
                  67,            0.031657,            0.020231,           0.0031963,             0.80977,              0.7687,             0.78797,             0.33154,            0.042367,            0.025455,           0.0081512,           0.0090821,           0.0090821,           0.0090821
                  68,             0.03192,            0.020762,           0.0028495,             0.80016,             0.75205,             0.78036,             0.32353,            0.043089,              0.0254,           0.0083744,           0.0090552,           0.0090552,           0.0090552
                  69,            0.032127,            0.021208,           0.0025355,             0.79067,             0.76882,             0.78734,             0.33382,            0.043107,            0.025241,           0.0090942,            0.009028,            0.009028,            0.009028
                  70,            0.031193,            0.021117,            0.002389,             0.81816,              0.7508,             0.80464,             0.33561,            0.042778,            0.026487,            0.008199,           0.0090004,           0.0090004,           0.0090004
                  71,            0.031094,            0.020733,           0.0024431,             0.80032,             0.79328,             0.79662,             0.32746,            0.042865,            0.025894,           0.0084477,           0.0089726,           0.0089726,           0.0089726
                  72,            0.031138,            0.020538,           0.0025754,             0.83168,             0.76098,             0.79493,             0.32665,            0.042885,            0.025948,           0.0086283,           0.0089444,           0.0089444,           0.0089444
                  73,            0.031144,            0.020617,           0.0025383,             0.83538,             0.77701,             0.80365,             0.33263,            0.042293,            0.025445,           0.0076677,           0.0089159,           0.0089159,           0.0089159
                  74,            0.030953,            0.021013,            0.002308,              0.8447,             0.76724,             0.80468,             0.32787,            0.043269,            0.025178,           0.0076747,            0.008887,            0.008887,            0.008887
